Name,Symbol,Price,Market cap,24h change
AGI Token,AGI,0.254,$ 323.61M,-1.19%
TrueUSD,TUSD,1.02,$ 322.06M,+1.30%
Gravity,G,0.0445,$ 321.72M,+6.02%
Yield Guild Games,YGG,0.812,$ 321.19M,+4.03%
Reserve Rights Token,RSR,0.018,$ 320.88M,+6.09%
DigiByte,DGB,0.0182,$ 316.54M,+1.67%
SingularityNET,AGIX,0.90,$ 313.38M,+3.81%
Ponke,PONKE,0.564,$ 313.11M,+5.00%
BakeryToken,BAKE,0.421,$ 307.65M,+4.25%
Aethir,ATH,0.0802,$ 302.97M,+7.17%
VANRY,VANRY,0.168,$ 300.24M,-0.76%
TerraClassicUSD,USTC,0.0303,$ 297.47M,+6.55%
Wrapped AVAX,WAVAX,52.08,$ 297.75M,+3.95%
Constellation,DAG,0.0742,$ 296.98M,+0.22%
Avail Token,Avail,0.17,$ 296.11M,+12.50%
Casper,CSPR,0.0232,$ 294.18M,+10.42%
Storj,STORJ,0.718,$ 291.83M,+5.27%
Andy,ANDY,0.000292,$ 291.58M,+17.39%
Wrapped Solana,SOL,234.78,$ 289.85M,+0.83%
Kamino,KMNO,0.213,$ 288.13M,+10.13%
ICON,ICX,0.277,$ 286.2M,+7.99%
Hamster Kombat,HMSTR,0.00445,$ 286.29M,+5.46%
NEM,XEM,0.0403,$ 284.99M,+9.17%
Chromia,CHR,0.343,$ 284.06M,+1.86%
Metaplex,MPLX,0.375,$ 284.04M,+5.10%
Waves,WAVES,2.43,$ 283.13M,+3.50%
IOST,IOST,0.0106,$ 282.65M,+3.65%
Status,SNT,0.0705,$ 282.7M,+11.32%
Enjin Coin,ENJ,0.371,$ 282.11M,+2.51%
Solar,SXP,0.448,$ 280.31M,+2.23%
basedAI,BASEDAI,7.95,$ 275.21M,+0.01%
Conflux Network,CFX,0.256,$ 274.77M,+6.96%
Nano,XNO,2.06,$ 275.62M,+6.53%
Nano,NANO,2.06,$ 274.6M,+6.76%
Department Of Government Efficiency,DOGE,0.271,$ 271.41M,+6.54%
Open Campus,EDU,0.768,$ 268.07M,+5.37%
WorldMobileToken,WMTX,0.537,$ 264.14M,+4.95%
Verge,XVG,0.0159,$ 263.07M,+0.64%
Numeraire,NMR,25.44,$ 254.08M,+2.47%
Dogelon Mars,ELON,0.0₆26,$ 250.21M,+12.27%
SAGA,SAGA,2.78,$ 249.8M,+1.33%
DEGEN,DEGEN,0.0199,$ 248.25M,+9.47%
Tellor,TRB,94.36,$ 247.82M,+5.02%
ApeCoin,APE,1.88,$ 246.91M,+2.33%
Name,Symbol,Price,Market cap,24h change
Mythos,MYTH,0.336,$ 246.84M,+0.24%
Highstreet,HIGH,2.45,$ 244.85M,+11.11%
